,Basic Materials,Technology,"Consumer, Non-cyclical",Communications,Energy,Financial,"Consumer, Cyclical",Utilities,Industrial
0,,,,,,MTB,,,
1,,,MWW,,,,,,
2,,,AMGN,,,,,,
3,,,,,,,,,FDX
4,,,ILMN,,,,,,
5,,,,,DVN,,,,
6,,,PBG,,,,,,
7,,,,,,,,,BNI
8,,,,,,,,,XYL
9,,,,,,FHN,,,
10,,,UNH,,,,,,
11,,,,,,RE,,,
12,,,ABT,,,,,,
13,,,,,,,,,WRK
14,IP,,,,,,,,
15,,,REGN,,,,,,
16,,,,,,BHF,,,
17,,,,,EQT,,,,
18,,,,,,,UA,,
19,,,,,ANDV,,,,
20,,,,,,SPG,,,
21,,,,,,,,,EMR
22,,,,DISCA,,,,,
23,,,ANTM,,,,,,
24,,,,,,,LB,,
25,,,AGN,,,,,,
26,,IBM,,,,,,,
27,,,,,,,HD,,
28,,EMC,,,,,,,
29,,,,,,,,,ROK
30,,,,,,,,AES,
31,,,HRB,,,,,,
32,,,,MDP,,,,,
33,,,,,,UDR,,,
34,,,JNJ,,,,,,
35,,,,,BHI,,,,
36,,,KMB,,,,,,
37,,,RMD,,,,,,
38,,LLTC,,,,,,,
39,,,BSX,,,,,,
40,,,HRL,,,,,,
41,,,,,,,WYN,,
42,,RX,,,,,,,
43,,,SVU,,,,,,
44,,,PDCO,,,,,,
45,,,,,,,SPLS,,
46,,,,,,,,,GRMN
47,,,,,,,,,FLIR
48,,,,,,,AN,,
49,,,,,,PBCT,,,
50,,,,LVLT,,,,,
51,,,,,,,,XEL,
52,,,,,NFX,,,,
53,,,,,,,CCL,,
54,,,,,,,WBA,,
55,,,,,,,YUMC,,
56,,,VRTX,,,,,,
57,,,ALXN,,,,,,
58,,,LLY,,,,,,
59,,,,,,,,,PLL
60,,,,,,,MGM,,
61,,,,,,LM,,,
62,,,IT,,,,,,
63,,,,DISH,,,,,
64,,,PG,,,,,,
65,,,,,,,GPC,,
66,,,,,,LUK,,,
67,,,,,,,,,GE
68,APD,,,,,,,,
69,,,,,,TMK,,,
70,FMC,,,,,,,,
71,,,,,,,,,BA
72,,,,,,MET,,,
73,,LDOS,,,,,,,
74,,CA,,,,,,,
75,,,,,,LNC,,,
76,,,CFN,,,,,,
77,,,,,,ESS,,,
78,,,,,,,SIG,,
79,,,,,,VNO,,,
80,,,,,QEP,,,,
81,,,,,,,FL,,
82,,,,,DNR,,,,
83,,,SYK,,,,,,
84,,,DPS,,,,,,
85,,,MRK,,,,,,
86,,,ENDP,,,,,,
87,,STX,,,,,,,
88,,,,,,,UAA,,
89,,,,,,BK,,,
90,,,,,,,,,JBL
91,,,,,,CBG,,,
92,MOS,,,,,,,,
93,,,,,,DLR,,,
94,DD,,,,,,,,
95,,,,,,MS,,,
96,,,,,,,,NRG,
97,,HPE,,,,,,,
98,,,,,,KEY,,,
99,,,,,,,,,FTV
100,,,,,,NTRS,,,
101,,,,GOOGL,,,,,
102,,,,,,,DAL,,
103,,,AVP,,,,,,
104,,,,,,NAVI,,,
105,,,,,WPX,,,,
106,,,,,,AIZ,,,
107,,,,,,,UAL,,
108,,,HUM,,,,,,
109,,,,,,,,,SRCL
110,,,,,SLB,,,,
111,,,,,,,,,PKG
112,,,,,,,,,SNA
113,,,,,,,,ETR,
114,,,,,,REG,,,
115,,,,,,,GME,,
116,,,COO,,,,,,
117,,,,,,,MAR,,
118,,,,,OKE,,,,
119,,NVDA,,,,,,,
120,ASIX,,,,,,,,
121,,,,,,,WMT,,
122,,,,CBS,,,,,
123,,,,,CHK,,,,
124,,JAVA,,,,,,,
125,,,ESRX,,,,,,
126,,,,,,,CMG,,
127,,HPQ,,,,,,,
128,,,COV,,,,,,
129,,,,,,,,,ARNC
130,,,,,,,,,RTN
131,,,,JNPR,,,,,
132,,,,,CXO,,,,
133,,,,,,,LUV,,
134,,,PFE,,,,,,
135,,,CI,,,,,,
136,,,,,,,,NEE,
137,,,,,,,APTV,,
138,,,,,,,,CMS,
139,,,,,,PSA,,,
140,,,,,,,NWL,,
141,,DVMT,,,,,,,
142,,,GHC,,,,,,
143,,,,,,,,,JOY
144,,,,,,,,,AOS
145,,,,,,HCP,,,
146,,,,,,,,,JEC
147,,,,,,,MAT,,
148,,,,,,,,,IR
149,,,URI,,,,,,
150,,,SYY,,,,,,
151,,MSFT,,,,,,,
152,,,,,,,,NI,
153,,AVGO,,,,,,,
154,,,,,,,RSHCQ,,
155,,,,,COG,,,,
156,,,,,,,HOG,,
157,,,MHS,,,,,,
158,,,,,,,LEG,,
159,,,MNST,,,,,,
160,,EA,,,,,,,
161,,,,,,,,,NSC
162,,,MJN,,,,,,
163,,,,,,,HAR,,
164,,,SWY,,,,,,
165,,,ISRG,,,,,,
166,,,,,,,,POM,
167,,,,,,WLTW,,,
168,,,GPN,,,,,,
169,,,,,,FII,,,
170,,,,,,,BBBY,,
171,,,,,,,,,MAS
172,,,,,,,JCP,,
173,DWDP,,,,,,,,
174,,DXC,,,,,,,
175,,,,WIN,,,,,
176,,,,,,AJG,,,
177,,,CELG,,,,,,
178,,,,,,,,,JCI
179,,,,,,,JWN,,
180,,,,,,,BWA,,
181,,,,NWS,,,,,
182,,,,,RRC,,,,
183,,,,AMZN,,,,,
184,,,ADM,,,,,,
185,,,,,,,,,FLS
186,,,,,,,ALK,,
187,,,,,,,,DTE,
188,,,,,,,GWW,,
189,,,,,,COF,,,
190,,,,,,,,,MOLX
191,ALB,,,,,,,,
192,,,,,,,,STR,
193,,,,,,DFS,,,
194,,,,,SUNEQ,,,,
195,,,,,,ADS,,,
196,,XLNX,,,,,,,
197,,,BEAM,,,,,,
198,,,,,CPGX,,,,
199,,,RRD,,,,,,
200,,,,VRSN,,,,,
201,,,,,,,,,MTD
202,,ATVI,,,,,,,
203,,,BIVV,,,,,,
204,,,,,,TRV,,,
205,,SNDK,,,,,,,
206,,,,,,,,,CBE
207,,,EW,,,,,,
208,,,CNC,,,,,,
209,,,,,,,HLT,,
210,,,,,,,LKQ,,
211,,,,,,,,CEG,
212,,,,,,,,,APH
213,,,,,,,,,MLM
214,,,,FOX,,,,,
215,,,,,BHGE,,,,
216,,,MCO,,,,,,
217,,INTU,,,,,,,
218,,,,,,,GT,,
219,,,,,,,,,BMS
220,,,,,,CMA,,,
221,,,HSIC,,,,,,
222,,,,,,EXR,,,
223,,,,,,,AZO,,
224,,,MYL,,,,,,
225,,,,,NOV,,,,
226,,,,,,,,,ITW
227,,,,,,,,AEP,
228,,,IDXX,,,,,,
229,,,BMY,,,,,,
230,,,CL,,,,,,
231,,,,,,,,,KSU
232,,,,CMCSA,,,,,
233,,,,,,CCI,,,
234,,,MDLZ,,,,,,
